id,title,slug,description,url,domain,workload
XYyJfJh8Eeu10Ao71wup4w,"Sustainable Regional Principles, Planning and Transportation",sustainable-regional-principles-planning-and-transportation,,https://www.coursera.org/learn/sustainable-regional-principles-planning-and-transportation,,
ALMS0NyJEe6J_wr_0biVVQ,Cloud Essentials for Business Leaders - Education,aws-cloud-essentials-for-business-leaders-education,,https://www.coursera.org/learn/aws-cloud-essentials-for-business-leaders-education,,
cSmgaioWEee6gA5XksfBbg,Equivalent Circuit Cell Model Simulation,equivalent-circuit-cell-model-simulation,,https://www.coursera.org/learn/equivalent-circuit-cell-model-simulation,,
MfXod8fLEeuINgrXJ66ToQ,Introduction to Abnormal Psychology,intro-abnormal-psych,,https://www.coursera.org/learn/intro-abnormal-psych,,
trTBMWBkEe-CzxKb2UkMMw,Content Creation With Generative AI,content-creation-with-generative-ai,,https://www.coursera.org/learn/content-creation-with-generative-ai,,
RD6DBTFlEe-MmBK4EgZ1qQ,Firebase Authentication: Build Secure Angular Apps,firebase-authentication-build-secure-angular-apps,,https://www.coursera.org/learn/firebase-authentication-build-secure-angular-apps,,
1Iy4sTEyEeu4yQpPQkhcrw,Income Features in ProfitBooks,income-features-profitbooks,,https://www.coursera.org/learn/income-features-profitbooks,,
SWrM-lpYEeuMkArab-7zbw,Introduction to NoSQL Databases,introduction-to-nosql-databases,,https://www.coursera.org/learn/introduction-to-nosql-databases,,
r_n6Aa1EEe2fwxIAdw5Cyw,React avanzado,advanced-react-es,,https://www.coursera.org/learn/advanced-react-es,,
pDgFfhS6EeyouBKu9Bts1w,LCFA Exam Preparation,lcfa-exam,,https://www.coursera.org/learn/lcfa-exam,,
qvk6sebqEe63ggr_x80NqQ,Introduction to GitHub Copilot,introduction-to-microsoft-github-copilot,,https://www.coursera.org/learn/introduction-to-microsoft-github-copilot,,
Is-lr2N_Eei_Tw6L_IWP-g,Clinical Data Models and Data Quality Assessments,clinical-data-models-and-data-quality-assessments,,https://www.coursera.org/learn/clinical-data-models-and-data-quality-assessments,,
7NikkWPGEe-kNRKvYx1DyQ,Web Scraping Tutorial with Scrapy and Python for Beginners,packt-web-scraping-tutorial-with-scrapy-and-python-for-beginners-0edsw,,https://www.coursera.org/learn/packt-web-scraping-tutorial-with-scrapy-and-python-for-beginners-0edsw,,
_FfB9yTNEe-_Bw7l9wp8FQ,OpenAI: Consistent Response Strategies,open-ai-consistent-response-strategies,,https://www.coursera.org/learn/open-ai-consistent-response-strategies,,
plyulkq0Eee4pw7hxA2o1A,Risk in Modern Society ,risk-in-modern-society,,https://www.coursera.org/learn/risk-in-modern-society,,
